Type,country_code,eu,eu_sub,full_name,imf2003,incomelevel,name,oecd,region
country,AND,False,False,Andorra,Advanced Countries,High income,Andorra,False,Europe
country,CHN,False,False,China,Developing Countries,Upper middle income,China,False,East Asia
country,ATG,False,False,Antigua and Barbuda,Developing Countries,High income,Antigua and Barbuda,False,South America
country,ARG,False,False,Argentina,Developing Countries,High income,Argentina,False,South America
country,AUS,False,False,Australia,Advanced Countries,High income,Australia,OECD,Pacific
country,AUT,EU,EU-15,Austria,Advanced Countries,High income,Austria,OECD,Europe
country,IND,False,False,India,Developing Countries,Lower middle income,India,False,South Asia
country,BHS,False,False,Bahamas,Developing Countries,High income,Bahamas,False,South America
country,BHR,False,False,Bahrain,Developing Countries,High income,Bahrain,False,Middle East
country,BRB,False,False,Barbados,Developing Countries,High income,Barbados,False,South America
country,BEL,EU,EU-15,Belgium,Advanced Countries,High income,Belgium,OECD,Europe
country,BRN,False,False,Brunei Darussalam,Developing Countries,High income,Brunei,False,East Asia
country,ALB,False,False,Albania,Transition Countries,Upper middle income,Albania,False,Europe
country,BRA,False,False,Brazil,Developing Countries,Upper middle income,Brazil,False,South America
country,CAN,False,False,Canada,Advanced Countries,High income,Canada,OECD,North America
country,CHL,False,False,Chile,Developing Countries,High income,Chile,OECD,South America
country,ARM,False,False,Armenia,Transition Countries,Upper middle income,Armenia,False,Central Asia
country,TUR,False,False,Turkey,Developing Countries,Upper middle income,Turkey,OECD,Central Asia
country,HRV,EU,EU-13,Croatia,Transition Countries,High income,Croatia,False,Europe
country,CYP,EU,EU-13,Cyprus,Advanced Countries,High income,Cyprus,False,Europe
country,IRN,False,False,Iran,Developing Countries,Upper middle income,Iran,False,Middle East
country,CZE,EU,EU-13,Czech Republic,Transition Countries,High income,Czechia,OECD,Europe
country,DNK,EU,EU-15,Denmark,Advanced Countries,High income,Denmark,OECD,Europe
country,EST,EU,EU-13,Estonia,Transition Countries,High income,Estonia,OECD,Europe
country,FIN,EU,EU-15,Finland,Advanced Countries,High income,Finland,OECD,Europe
country,MEX,False,False,Mexico,Developing Countries,Upper middle income,Mexico,OECD,North America
country,AZE,False,False,Azerbaijan,Transition Countries,Upper middle income,Azerbaijan,False,Central Asia
country,FRA,EU,EU-15,France,Advanced Countries,High income,France,OECD,Europe
country,DEU,EU,EU-15,Germany,Advanced Countries,High income,Germany,OECD,Europe
country,GRC,EU,EU-15,Greece,Advanced Countries,High income,Greece,OECD,Europe
country,HKG,False,False,Hong Kong,Advanced Countries,High income,Hong Kong,False,East Asia
country,ZAF,False,False,South Africa,Developing Countries,Upper middle income,South Africa,False,Sub-Saharan Africa
country,HUN,EU,EU-13,Hungary,Transition Countries,High income,Hungary,OECD,Europe
country,ISL,False,False,Iceland,Advanced Countries,High income,Iceland,OECD,Europe
country,MYS,False,False,Malaysia,Developing Countries,Upper middle income,Malaysia,False,East Asia
country,IRL,EU,EU-15,Ireland,Advanced Countries,High income,Ireland,OECD,Europe
country,ISR,False,False,Israel,Advanced Countries,High income,Israel,OECD,Middle East
country,EGY,False,False,Egypt,Developing Countries,Lower middle income,Egypt,False,North Africa
country,ITA,EU,EU-15,Italy,Advanced Countries,High income,Italy,OECD,Europe
country,BLR,False,False,Belarus,Transition Countries,Upper middle income,Belarus,False,Europe
country,JPN,False,False,Japan,Advanced Countries,High income,Japan,OECD,East Asia
country,BIH,False,False,Bosnia and Herzegovina,Transition Countries,Upper middle income,Bosnia and Herzegovina,False,Europe
country,THA,False,False,Thailand,Developing Countries,Upper middle income,Thailand,False,East Asia
country,PAK,False,False,Pakistan,Developing Countries,Lower middle income,Pakistan,False,South Asia
country,KWT,False,False,Kuwait,Developing Countries,High income,Kuwait,False,Middle East
country,BGR,EU,EU-13,Bulgaria,Transition Countries,Upper middle income,Bulgaria,False,Europe
country,LVA,EU,EU-13,Latvia,Transition Countries,High income,Latvia,OECD,Europe
country,LIE,False,False,Liechtenstein,Advanced Countries,High income,Liechtenstein,False,Europe
country,COL,False,False,Colombia,Developing Countries,Upper middle income,Colombia,False,South America
country,LTU,EU,EU-13,Lithuania,Transition Countries,High income,Lithuania,OECD,Europe
country,NGA,False,False,Nigeria,Developing Countries,Lower middle income,Nigeria,False,Sub-Saharan Africa
country,GEO,False,False,Georgia,Transition Countries,Lower middle income,Georgia,False,Central Asia
country,TUN,False,False,Tunisia,Developing Countries,Lower middle income,Tunisia,False,North Africa
country,IDN,False,False,Indonesia,Developing Countries,Lower middle income,Indonesia,False,East Asia
country,LUX,EU,EU-15,Luxembourg,Advanced Countries,High income,Luxembourg,OECD,Europe
country,DZA,False,False,Algeria,Developing Countries,Upper middle income,Algeria,False,North Africa
country,MAR,False,False,Morocco,Developing Countries,Lower middle income,Morocco,False,North Africa
country,KAZ,False,False,Kazakhstan,Transition Countries,Upper middle income,Kazakhstan,False,Central Asia
country,VNM,False,False,Viet Nam,Developing Countries,Lower middle income,Vietnam,False,East Asia
country,CUB,False,False,Cuba,Developing Countries,Upper middle income,Cuba,False,South America
country,BGD,False,False,Bangladesh,Developing Countries,Lower middle income,Bangladesh,False,South Asia
country,MLT,EU,EU-13,Malta,Developing Countries,High income,Malta,False,Europe
country,JOR,False,False,Jordan,Developing Countries,Upper middle income,Jordan,False,Middle East
country,VEN,False,False,Venezuela,Developing Countries,Upper middle income,Venezuela,False,South America
country,KGZ,False,False,Kyrgyzstan,Transition Countries,Lower middle income,Kyrgyzstan,False,Central Asia
country,KEN,False,False,Kenya,Developing Countries,Lower middle income,Kenya,False,Sub-Saharan Africa
country,MCO,False,False,Monaco,Advanced Countries,High income,Monaco,False,Europe
country,PHL,False,False,Philippines,Developing Countries,Lower middle income,Philippines,False,East Asia
country,LBN,False,False,Lebanon,Developing Countries,Upper middle income,Lebanon,False,Middle East
country,PER,False,False,Peru,Developing Countries,Upper middle income,Peru,False,South America
country,ETH,False,False,Ethiopia,Developing Countries,Low income,Ethiopia,False,Sub-Saharan Africa
country,NLD,EU,EU-15,Netherlands,Advanced Countries,High income,Netherlands,OECD,Europe
country,IRQ,False,False,Iraq,Developing Countries,Upper middle income,Iraq,False,Middle East
country,NZL,False,False,New Zealand,Advanced Countries,High income,New Zealand,OECD,Pacific
country,NOR,False,False,Norway,Advanced Countries,High income,Norway,OECD,Europe
country,OMN,False,False,Oman,Developing Countries,High income,Oman,False,Middle East
country,PLW,False,False,Palau,Developing Countries,High income,Palau,False,Pacific
country,GHA,False,False,Ghana,Developing Countries,Lower middle income,Ghana,False,Sub-Saharan Africa
country,PAN,False,False,Panama,Developing Countries,High income,Panama,False,South America
country,TZA,False,False,Tanzania,Developing Countries,Low income,Tanzania,False,Sub-Saharan Africa
country,UGA,False,False,Uganda,Developing Countries,Low income,Uganda,False,Sub-Saharan Africa
country,POL,EU,EU-13,Poland,Transition Countries,High income,Poland,OECD,Europe
country,CMR,False,False,Cameroon,Developing Countries,Lower middle income,Cameroon,False,Sub-Saharan Africa
country,MKD,False,False,Macedonia,Transition Countries,Upper middle income,Macedonia,False,Europe
country,MDA,False,False,Moldova,Transition Countries,Lower middle income,Moldova,False,Europe
country,MNG,False,False,Mongolia,Transition Countries,Lower middle income,Mongolia,False,East Asia
country,LKA,False,False,Sri Lanka,Developing Countries,Lower middle income,Sri Lanka,False,South Asia
country,PRT,EU,EU-15,Portugal,Advanced Countries,High income,Portugal,OECD,Europe
country,ECU,False,False,Ecuador,Developing Countries,Upper middle income,Ecuador,False,South America
country,MNE,False,False,Montenegro,Transition Countries,Upper middle income,Montenegro,False,Europe
country,NPL,False,False,Nepal,Developing Countries,Low income,Nepal,False,South Asia
country,CRI,False,False,Costa Rica,Developing Countries,Upper middle income,Costa Rica,False,South America
country,QAT,False,False,Qatar,Developing Countries,High income,Qatar,False,Middle East
country,SEN,False,False,Senegal,Developing Countries,Low income,Senegal,False,Sub-Saharan Africa
country,ROU,EU,EU-13,Romania,Transition Countries,Upper middle income,Romania,False,Europe
country,RUS,False,False,Russian Federation,Transition Countries,Upper middle income,Russia,False,Europe
country,ZWE,False,False,Zimbabwe,Developing Countries,Low income,Zimbabwe,False,Sub-Saharan Africa
country,SDN,False,False,Sudan,Developing Countries,Lower middle income,Sudan,False,Sub-Saharan Africa
country,MWI,False,False,Malawi,Developing Countries,Low income,Malawi,False,Sub-Saharan Africa
country,SYR,False,False,Syrian Arab Republic,Developing Countries,Low income,Syria,False,Middle East
country,KNA,False,False,Saint Kitts and Nevis,Developing Countries,High income,Saint Kitts and Nevis,False,South America
country,BFA,False,False,Burkina Faso,Developing Countries,Low income,Burkina Faso,False,Sub-Saharan Africa
country,BWA,False,False,Botswana,Developing Countries,Upper middle income,Botswana,False,Sub-Saharan Africa
country,PSE,False,False,Palestine,Developing Countries,Lower middle income,Palestine,False,Middle East
country,SRB,False,False,Serbia,Transition Countries,Upper middle income,Serbia,False,Europe
country,CIV,False,False,Cote d'Ivoire,Developing Countries,Lower middle income,Cote d'Ivoire,False,Sub-Saharan Africa
country,ZMB,False,False,Zambia,Developing Countries,Lower middle income,Zambia,False,Sub-Saharan Africa
country,SMR,False,False,San Marino,Advanced Countries,High income,San Marino,False,Europe
country,SAU,False,False,Saudi Arabia,Developing Countries,High income,Saudi Arabia,False,North Africa
country,BEN,False,False,Benin,Developing Countries,Low income,Benin,False,Sub-Saharan Africa
country,SYC,False,False,Seychelles,Developing Countries,High income,Seychelles,False,Sub-Saharan Africa
country,JAM,False,False,Jamaica,Developing Countries,Upper middle income,Jamaica,False,South America
country,COG,False,False,Congo,Developing Countries,Lower middle income,Congo,False,Sub-Saharan Africa
country,BOL,False,False,Bolivia,Developing Countries,Lower middle income,Bolivia,False,South America
country,MDG,False,False,Madagascar,Developing Countries,Low income,Madagascar,False,Sub-Saharan Africa
country,LBY,False,False,Libyan Arab Jamahiriya,Developing Countries,Upper middle income,Libya,False,North Africa
country,YEM,False,False,Yemen,Developing Countries,Low income,Yemen,False,Middle East
country,SGP,False,False,Singapore,Advanced Countries,High income,Singapore,False,East Asia
country,SVK,EU,EU-13,Slovakia,Transition Countries,High income,Slovakia,OECD,Europe
country,KHM,False,False,Cambodia,Developing Countries,Lower middle income,Cambodia,False,East Asia
country,MOZ,False,False,Mozambique,Developing Countries,Low income,Mozambique,False,Sub-Saharan Africa
country,MLI,False,False,Mali,Developing Countries,Low income,Mali,False,Sub-Saharan Africa
country,SVN,EU,EU-13,Slovenia,Transition Countries,High income,Slovenia,OECD,Europe
country,TJK,False,False,Tajikistan,Transition Countries,Low income,Tajikistan,False,Central Asia
country,FJI,False,False,Fiji,Developing Countries,Upper middle income,Fiji,False,Pacific
country,NAM,False,False,Namibia,Developing Countries,Upper middle income,Namibia,False,Sub-Saharan Africa
country,GTM,False,False,Guatemala,Developing Countries,Upper middle income,Guatemala,False,South America
country,RWA,False,False,Rwanda,Developing Countries,Low income,Rwanda,False,Sub-Saharan Africa
country,GAB,False,False,Gabon,Developing Countries,Upper middle income,Gabon,False,Sub-Saharan Africa
country,LAO,False,False,Laos,Developing Countries,Lower middle income,Laos,False,East Asia
country,MUS,False,False,Mauritius,Developing Countries,Upper middle income,Mauritius,False,Sub-Saharan Africa
country,GMB,False,False,Gambia,Developing Countries,Low income,Gambia,False,Sub-Saharan Africa
country,PNG,False,False,Papua New Guinea,Developing Countries,Lower middle income,Papua New Guinea,False,Pacific
country,MMR,False,False,Myanmar,Developing Countries,Lower middle income,Myanmar,False,East Asia
country,NER,False,False,Niger,Developing Countries,Low income,Niger,False,Sub-Saharan Africa
country,TKM,False,False,Turkmenistan,Transition Countries,Upper middle income,Turkmenistan,False,Central Asia
country,KOR,False,False,South Korea,Advanced Countries,High income,South Korea,OECD,East Asia
country,PRY,False,False,Paraguay,Developing Countries,Upper middle income,Paraguay,False,South America
country,TGO,False,False,Togo,Developing Countries,Low income,Togo,False,Sub-Saharan Africa
country,ESP,EU,EU-15,Spain,Advanced Countries,High income,Spain,OECD,Europe
country,NIC,False,False,Nicaragua,Developing Countries,Lower middle income,Nicaragua,False,South America
country,GRD,False,False,Grenada,Developing Countries,Upper middle income,Grenada,False,South America
country,UKR,False,False,Ukraine,Transition Countries,Lower middle income,Ukraine,False,Europe
country,DOM,False,False,Dominican Republic,Developing Countries,Upper middle income,Dominican Republic,False,South America
country,SLV,False,False,El Salvador,Developing Countries,Lower middle income,El Salvador,False,South America
country,SWZ,False,False,Swaziland,Developing Countries,Lower middle income,Swaziland,False,Sub-Saharan Africa
country,SWE,EU,EU-15,Sweden,Advanced Countries,High income,Sweden,OECD,Europe
country,HND,False,False,Honduras,Developing Countries,Lower middle income,Honduras,False,South America
